mean_mfcc1,mean_mfcc2,mean_mfcc3,mean_delta_mfcc1,mean_delta2_mfcc1,std_mfcc1,std_mfcc2,std_mfcc3,std_delta_mfcc1,std_delta2_mfcc1,rms_mfcc1,rms_mfcc2,rms_mfcc3,Class
-137.39847688275736,177.93667885776293,-60.56404710098656,0.011869157311281672,-0.0019282582237645219,48.893891873469144,34.46515796448775,34.102532549176495,6.196930199580199,3.3268906920700823,145.83879494920444,181.24378278012114,69.50529855714714,2
-223.5733640967735,176.84676683722856,-51.225091388813844,0.0027502450743508732,-0.00014902477550780683,56.717910176412566,33.039567701208924,32.74180500260693,7.864725383642793,3.8152098296630736,230.65552338569321,179.9066201524109,60.79503090402264,2
-236.26786221262594,175.58336702975336,-12.036682014500437,-2.2327949806986714e-06,2.0298136162863178e-06,68.37077307293127,35.63267329298983,27.452278058485085,6.434334877266362,2.983958780807587,245.9615118775998,179.16251333219802,29.975144445333033,2
-323.8357277778481,179.47831673076726,-89.78855642083448,5.416397833584652e-06,0.0003240599606349231,89.34254328231677,40.76565142180604,43.31726289037842,8.852646188506524,4.1790158323034365,335.93402421541225,184.04973380136636,99.69137439343251,2
-283.271432052107,201.66894459031698,-50.5547617802184,0.008127461148322968,-0.00010708491068074293,70.69781888709701,31.574690301682086,34.537676258617516,5.456424754361207,2.8606442974561928,291.96041822864316,204.12575604224833,61.22609754018055,2
-184.1364933901166,148.6766229945257,-76.1784366887556,6.478042977894085e-16,-2.6075883323789427e-15,63.08209331140794,27.798547292481796,25.696368847538558,6.801933253462686,3.80548622016881,194.64223255644606,151.25309073413567,80.39563164930973,2
-189.78554011472147,174.91086812203605,-86.94062173898483,6.686689797949968e-16,-2.5110425406226177e-15,70.69022981338304,32.38169519752945,24.740298270125184,6.649260628682059,3.7340585266976563,202.52323280973337,177.88306825291156,90.39222348662523,2
-208.94137872531252,203.8565831490965,-80.62282988975097,0.02609866618582516,-0.0005868960982020566,68.72140792484088,28.21619498873313,35.64648152243048,6.501069457022082,3.4070509260049646,219.95256682022801,205.8000489622554,88.15164402528578,2
-319.95893530995676,181.4238267914016,-55.61068790359781,1.078552522681006e-15,-4.811520613590113e-15,83.19166056224545,40.71114200615012,23.262471458752724,5.279220440777666,2.5478829095637936,330.59729683072874,185.93547808603233,60.28010606726439,2
-237.87855085532723,167.65457248321064,-32.377296550954775,8.348610395628324e-16,-3.3219427851495215e-15,82.23277157328947,35.75608054851734,41.146895905179115,6.696840733872858,3.387592250365088,251.69114739627878,171.42506517636266,52.35796381239547,2
-325.7550546732564,187.33233145497712,-3.409607808325599,1.1003462464818684e-15,-4.4769850161600495e-15,57.02678771006151,38.99527453015401,20.573622280915657,3.658374479544363,1.549495524555218,330.7089508339693,191.34793922078046,20.854240795684316,2
-198.67083634014486,165.90569205250577,-26.381592651425823,0.010464627348213375,-0.00020350236105764452,82.12639601596449,28.46532555460947,36.93132359281759,9.66853529036333,4.494203676844225,214.97638506278696,168.32995400210496,45.38624343502302,2
-187.05964403245093,179.19000421236876,-77.66314226342347,0.0020976352502669092,-7.542087959459682e-05,67.48108226141495,24.12433378367695,29.62703032930367,6.01100742072692,3.202545847033135,198.85926402538834,180.806640060964,83.12234712977148,2
-196.29072771467565,161.49296042381968,-54.14839795419957,-0.00072458217824529,-0.0001293910997972489,54.47444251981824,29.352731424826025,24.92451948052933,6.649588215756171,3.1136803286979653,203.70938779202572,164.13884095042025,59.6094008721917,2
-264.72746256250565,161.43870186404118,-73.94309177744621,9.209670264026572e-16,-3.76728264173284e-15,80.2586081011329,35.35523294261922,27.02285798100507,7.351095187728466,3.9315541942317522,276.62623449180313,165.26477832851634,78.72620704104447,2
-147.69041702553503,179.43229025274863,-48.798019828273006,5.169106304830078e-16,-2.0328728390269966e-15,62.74281150255631,29.545213078414893,22.31610325181922,5.7159850574724675,3.303111779434849,160.46532234854283,181.8484709894355,53.658691779677056,2
-316.0331161940872,211.7108195104032,-46.13960394861604,0.004781303182746699,-0.0003877039176927176,68.10200877258228,35.53785673584779,39.64698011941767,7.185357469505396,3.457654594841165,323.28751001269177,214.6727983679911,60.83375777579949,2
-215.0162329693716,193.6005617762777,-14.458190714415927,0.008696061953737943,0.0001734324850451535,72.01513085732343,41.545748906424954,35.622359611472106,4.336090847738659,2.2374027008301995,226.7557265268873,198.00814824720226,38.444658706034346,2
