File_Number,KMeans_Cluster,GMM_Cluster,Agglomerative_Cluster,KMeans_Likelihood_Cluster_1,GMM_Likelihood_Cluster_1,Agglomerative_Likelihood_Cluster_1,KMeans_Likelihood_Cluster_2,GMM_Likelihood_Cluster_2,Agglomerative_Likelihood_Cluster_2,KMeans_Likelihood_Cluster_3,GMM_Likelihood_Cluster_3,Agglomerative_Likelihood_Cluster_3,KMeans_Likelihood_Cluster_4,GMM_Likelihood_Cluster_4,Agglomerative_Likelihood_Cluster_4,KMeans_Likelihood_Cluster_5,GMM_Likelihood_Cluster_5,Agglomerative_Likelihood_Cluster_5,KMeans_Likelihood_Cluster_6,GMM_Likelihood_Cluster_6,Agglomerative_Likelihood_Cluster_6
20,0,0,4,0.39118892963576485,1.0,0.11885101176047078,0.09877255882077092,4.0560518478788913e-57,0.12444507699358849,0.17931856038084656,3.159077066854015e-158,0.08576189164584906,0.1358369475597687,1.5567404961235775e-72,0.06524795281082331,0.11137821214694717,1.9412711507411007e-125,0.5586510910794342,0.08350479145590174,0.0,0.04704297570983408
21,3,3,1,0.11097512184653813,0.0,0.12852546717817603,0.1506470575609975,1.245697900288681e-10,0.4721046807073696,0.18594568377085427,4.0398099471310567e-29,0.19731000419861194,0.30248931882089347,0.9999999998754303,0.07725674485042278,0.1443097879507085,1.4557763993292757e-63,0.0776454980891052,0.10563303005000828,0.0,0.04715760497631429
22,3,3,1,0.120163112576711,0.0,0.15867008562988397,0.1313250119500294,2.2903951169522202e-06,0.4588211784773142,0.2452976040787023,1.2109949267513868e-17,0.1627659652433146,0.27704059104849055,0.9999977096048831,0.08029604832221744,0.1335770661574924,8.449665630752665e-64,0.09322119527279588,0.0925966141885744,0.0,0.046225527054473824
23,1,1,2,0.09478526793377012,0.0,0.12448382762695218,0.27404351966362256,0.9999798140129462,0.16005305952167762,0.16005697329093577,6.261952753472098e-48,0.48737609000834003,0.19452388289985129,2.018598705299696e-05,0.10487499275736611,0.14375058893847784,5.346177748318134e-34,0.07059649910862337,0.1328397672733422,0.0,0.05261553097704064
24,2,2,0,0.15399907833976698,0.0,0.4610029810117203,0.14348654497449795,7.490158041451338e-12,0.17843924793580118,0.25210757127471073,0.9998721206721171,0.13285155766124687,0.19642775677219532,0.00012787932039285614,0.07230499856937712,0.15515659963591655,1.9611494490432258e-59,0.10840160381946186,0.0988224490029126,0.0,0.04699961100239274
25,3,3,1,0.12560516284094514,0.0,0.13749038068873937,0.15626708622743124,8.704868660704153e-17,0.46469443558456425,0.19605100922659133,1.8324965507693326e-22,0.1814593349046622,0.2752660605306995,1.0,0.08280826921725225,0.13788503715970266,9.131066497887772e-91,0.08622969234367257,0.10892564401463006,0.0,0.04731788726110938
26,5,5,3,0.09660628927827927,0.0,0.09161464341311942,0.17951554454077395,3.47463170611899e-19,0.09728996815381823,0.12625410152437946,0.0,0.12792302574006492,0.14128851453255373,0.0,0.580699255168504,0.1471573535970219,0.0,0.053098037737959826,0.3091781965269916,1.0,0.04937506978653367
27,4,4,0,0.10112620588747043,0.0,0.5463075532728472,0.18177978949883875,1.5104132017235665e-31,0.12003214916478387,0.14501879892948502,3.0099985428368587e-53,0.1259012120631306,0.1635658663180177,7.86352739044348e-18,0.09079083581061567,0.26385067027246767,1.0,0.06100539637538338,0.14465866909372038,0.0,0.05596285331323925
28,1,1,2,0.09103021476049411,0.0,0.1089261373999256,0.26002515697109985,1.0,0.13164711908196003,0.1329563264343892,6.235171550529262e-49,0.4992882851674615,0.1661664017964531,0.0,0.14760115907516394,0.1540374477901063,2.9008405433390936e-69,0.06006428902711368,0.19578445224745747,0.0,0.05247301024837535
29,1,1,2,0.09449906295209178,0.0,0.10931841280358028,0.24312219089635345,1.0,0.11829783900669456,0.13633097475406314,0.0,0.521643936333188,0.16347218246116646,0.0,0.14437110105596762,0.16409832848927075,1.6405066392625105e-268,0.058810980742767714,0.1984772604470545,0.0,0.04755773005780198
30,3,3,1,0.12915824713858345,0.0,0.12941974199893364,0.15011885263378466,2.581120298770409e-18,0.47357941575030277,0.2078491141598935,2.3007896316442705e-21,0.1752395398742178,0.2663127242831566,1.0,0.08586509498251003,0.13509955232277399,1.6308586775966038e-84,0.08861051112488671,0.11146150946180765,0.0,0.047285696269149025
31,4,4,0,0.12356187581951994,0.0,0.5479184445391083,0.13878460975690554,1.2537759750026592e-36,0.13629658310317713,0.1769616412861471,9.582768224715309e-11,0.10530760991343995,0.17355434203306383,8.119625666263667e-68,0.07167233705763949,0.27836924587066314,0.9999999999041727,0.08537785810270608,0.10876828523370051,0.0,0.053427167283929114
32,2,2,0,0.15196295971563545,0.0,0.4585303045459056,0.12830647135339524,4.6092990596712794e-12,0.17214480385265782,0.2967059244070453,0.9993230918121722,0.14277865844647777,0.19380926530978934,0.0006769081832189475,0.070770875400152,0.13835211962289448,1.5505875469320188e-44,0.11013532827702051,0.09086325959124023,0.0,0.04564002947778643
33,3,3,2,0.10426048749655807,0.0,0.1369009746549643,0.1857647911620299,2.5191645122885317e-08,0.1780564862480342,0.179337599546481,5.271510607455451e-34,0.47938429919786985,0.24644856677154284,0.9999999748083551,0.08119366422492222,0.16885728608128475,2.277120449443191e-48,0.0740446418604651,0.11533126894210352,0.0,0.050419933813744364
34,2,2,0,0.17066302110973833,0.0,0.5131376939687504,0.14460650357636393,2.9437818583986166e-53,0.13681312980595975,0.22460263928761887,1.0,0.1188972598349608,0.1794846713194161,6.406260704455482e-22,0.06944867448141441,0.1731391306304657,1.0228897122465113e-30,0.11131569166493636,0.10750403407639725,0.0,0.05038755024397832
35,4,4,0,0.08787370935213344,0.0,0.4772858717481898,0.1675461188903595,2.9208405498463307e-24,0.17201052081846743,0.15361724771926247,1.4410410688013866e-37,0.14709261857767936,0.173243472087371,1.3180892339658175e-07,0.08809464884560213,0.30346375976416945,0.9999998681910764,0.06555655723952092,0.11425569218670406,0.0,0.04995978277054024
36,3,3,1,0.10340251288710754,0.0,0.12357421922506721,0.16754559197236457,0.00039005657732969046,0.4804915106199902,0.1800353735669583,1.2236028099127688e-59,0.18071641142626793,0.29270624852886684,0.9996099434226703,0.08989255892621857,0.1403678283583778,7.829155646598606e-48,0.07696490381802647,0.11594244468632489,0.0,0.048360395984429684
37,3,3,1,0.10856701178237362,0.0,0.1365857458773315,0.13223166159399966,2.2585557938490769e-10,0.4856320593669614,0.20573077905953965,3.2091458491617544e-20,0.16605207339861844,0.308328392093801,0.9999999997741444,0.07843192549748068,0.14942029687311748,3.741519842173752e-37,0.08528531496057536,0.09572185859716874,0.0,0.04801288089903259
38,1,1,2,0.09435872577128987,0.0,0.13604001446727698,0.27293404831003093,0.9999999996178746,0.1400974257724858,0.14026835471610632,3.772059749443027e-73,0.5017691676737281,0.16371586981973377,3.821258162227438e-10,0.10502328952291869,0.17603628118362535,7.69710957215639e-17,0.06191597616994555,0.15268672019921384,0.0,0.05515412639364488
39,3,3,1,0.11724887369982959,0.0,0.13926110204634248,0.13037875094022547,2.894914504815589e-10,0.4755793544474216,0.21091009771290867,4.5039119266230415e-17,0.17276625785415914,0.3091403714132304,0.9999999997105085,0.07790126474653124,0.13605780104628262,3.2134428069273265e-73,0.08772799561565663,0.0962641051875232,0.0,0.04676402528988896
40,1,1,2,0.11026083037784994,0.0,0.13585796841899672,0.22651680572694904,0.9999988895960384,0.14695379507915612,0.17694922165064242,1.0373510574452893e-50,0.5011935836386443,0.20179494427216954,1.1104039619878901e-06,0.08735729616391243,0.15917930280805265,7.092114425042285e-32,0.07498777384257382,0.12529889516433643,0.0,0.053649582856716525
41,2,3,1,0.12250927341949204,0.0,0.1719468306198835,0.12513517588453288,1.9186155236929243e-07,0.4580029768271227,0.28864879403849925,0.0002054395456014137,0.150752791461061,0.24392165135182917,0.9997943685928463,0.07626516348040907,0.13237036611006428,1.4747112859155541e-38,0.09727421272400474,0.08741473919558235,0.0,0.0457580248875189
42,3,3,1,0.11167379215320064,0.0,0.15088870361947507,0.144002235744519,4.557796827187446e-06,0.466932152541364,0.2117944512326698,1.1742068842390603e-12,0.16756115842855682,0.25519105834034217,0.9999954422019985,0.07900125541358868,0.1781948710658316,2.8804114671920293e-30,0.08761271465875321,0.09914359146343688,0.0,0.048004015338262186
43,3,1,1,0.10811356690049446,0.0,0.1496985149678722,0.14407309446429378,1.0,0.4486207120692811,0.20600761038995283,1.247331957567158e-164,0.20052107790943252,0.310736804747342,0.0,0.0721331798319512,0.14011401194636797,7.101846844473839e-32,0.08195194830595846,0.09095491155154878,0.0,0.04707456691550445
44,0,0,4,0.38319223170493966,1.0,0.12420660682901156,0.10335642718717694,2.100272303860425e-84,0.13309473193965954,0.18160808627063627,4.361893907587448e-72,0.0858776832199131,0.13665167429314903,8.793554974951527e-39,0.06478299642216057,0.10939101479042902,3.210667189379639e-116,0.5458306637458993,0.08580056575366896,0.0,0.04620731784335589
45,4,4,0,0.12915263050022663,0.0,0.5474824614519688,0.15143421990164152,1.892799336925957e-59,0.1280556346348541,0.20561405320151036,5.150404447735089e-31,0.11484772096015057,0.17947285086328876,1.219678299187424e-32,0.07369253493217422,0.21898667773570865,1.0,0.08308100538635996,0.1153395677976242,0.0,0.05284064263449236
46,1,1,2,0.0962010632822183,0.0,0.10514476068783439,0.22545469801179593,1.0,0.1428276521806676,0.14245643680071013,0.0,0.4924405482628366,0.19557845385659808,0.0,0.1468314045673645,0.14570226282296062,4.4893007123820935e-131,0.06325323764598,0.19460708522571712,0.0,0.049502396655316916
47,3,3,1,0.12053903064462619,0.0,0.12557356653314763,0.15655274871637812,6.934733232951637e-12,0.4819487194185316,0.22455819572261912,0.0,0.16859416284057308,0.24120498624715012,0.9999999999930651,0.08901082238165631,0.14192682964803738,4.60903500023376e-27,0.0854267810597284,0.11521820902118908,0.0,0.04944594776636291
48,3,3,2,0.09398688240857984,0.0,0.1370530553253675,0.18406715151438305,0.00015257082501620017,0.21224008422093188,0.17909704884540986,9.939261596347243e-34,0.44470951444906237,0.2719941863889194,0.9998474291749838,0.089237469628963,0.15869165832813223,2.075106932105933e-33,0.07007026580976043,0.11216307251457554,0.0,0.046689610565914724
49,3,3,1,0.12313449907395739,0.0,0.13286239997067392,0.1411050266442419,5.539214308805759e-12,0.4676225241617225,0.20302275745850273,3.173392619556779e-27,0.18803408295063054,0.29721918377600526,0.9999999999944609,0.07832625211931067,0.13415332477540634,6.183210375370541e-77,0.08696830364616057,0.10136520827188651,0.0,0.046186437151501815
50,1,1,2,0.08397654596677188,0.0,0.10562871744865597,0.30672486081769945,1.0,0.1300439065488248,0.12182146106819698,2.508589187600758e-274,0.5030592404108173,0.14913978596117453,0.0,0.1512972812797997,0.13966051231675797,4.879613662462116e-32,0.0552927904982578,0.1986768338693992,0.0,0.054678063813644505
